CAUSE,FEMALE KILLED,YEAR,TOTAL INJURED,FEMALE INJURED,TOTAL KILLED,STATE/UT,CASES,MALE KILLED,MALE INJURED
ELECTROCUTION,1,2010,0,0,7,MIZORAM,7,6,0
GAS CYLINDER/STOVE BURST,0,2010,0,0,0,MIZORAM,0,0,0
FIRE-ARMS,0,2010,0,0,2,MIZORAM,2,2,0
SUDDEN DEATHS(HEART ATTACKS),0,2010,0,0,10,MIZORAM,10,10,0
EPILEPTIC FITS/GIDDINESS,0,2010,0,0,0,MIZORAM,0,0,0
ABORTIONS/CHILD BIRTH,0,2010,0,0,0,MIZORAM,0,0,0
INFLUENCE OF ALCOHOL,0,2010,0,0,0,MIZORAM,0,0,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2,2010,0,0,2,MIZORAM,2,0,0
SNAKE BITE/ANIMAL BITE,0,2010,0,0,4,MIZORAM,4,4,0
OTHER,0,2010,0,0,1,MIZORAM,1,1,0
OTHER RAILWAY ACCIDENTS,0,2010,0,0,0,MIZORAM,0,0,0
TOTAL DROWNING,6,2010,0,0,25,MIZORAM,23,19,0
TOTAL FALLS,0,2010,0,0,7,MIZORAM,7,7,0
TOTAL FIRE,4,2010,0,0,12,MIZORAM,9,8,0
TOTAL SUDDEN DEATHS,0,2010,0,0,10,MIZORAM,10,10,0
TOTAL POISONING,2,2010,0,0,7,MIZORAM,7,5,0
ELECTROCUTION,0,2010,2,0,2,NAGALAND,1,2,2
GAS CYLINDER/STOVE BURST,0,2010,0,0,1,NAGALAND,1,1,0
FIRE-ARMS,0,2010,0,0,0,NAGALAND,0,0,0
SUDDEN DEATHS(HEART ATTACKS),0,2010,0,0,1,NAGALAND,1,1,0
EPILEPTIC FITS/GIDDINESS,0,2010,0,0,0,NAGALAND,0,0,0
ABORTIONS/CHILD BIRTH,0,2010,0,0,0,NAGALAND,0,0,0
INFLUENCE OF ALCOHOL,0,2010,0,0,0,NAGALAND,0,0,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,2010,0,0,0,NAGALAND,0,0,0
SNAKE BITE/ANIMAL BITE,0,2010,0,0,0,NAGALAND,0,0,0
OTHER,0,2010,0,0,1,NAGALAND,1,1,0
OTHER RAILWAY ACCIDENTS,0,2010,0,0,0,NAGALAND,0,0,0
TOTAL DROWNING,1,2010,0,0,4,NAGALAND,4,3,0
TOTAL FALLS,0,2010,0,0,3,NAGALAND,3,3,0
TOTAL FIRE,0,2010,0,0,2,NAGALAND,2,2,0
TOTAL SUDDEN DEATHS,0,2010,0,0,1,NAGALAND,1,1,0
TOTAL POISONING,0,2010,0,0,1,NAGALAND,1,1,0
ELECTROCUTION,27,2010,0,0,184,ODISHA,184,157,0
GAS CYLINDER/STOVE BURST,113,2010,5,0,185,ODISHA,182,72,5
FIRE-ARMS,0,2010,0,0,1,ODISHA,1,1,0
SUDDEN DEATHS(HEART ATTACKS),14,2010,0,0,112,ODISHA,105,98,0
EPILEPTIC FITS/GIDDINESS,11,2010,0,0,23,ODISHA,23,12,0
ABORTIONS/CHILD BIRTH,3,2010,0,0,3,ODISHA,3,0,0
INFLUENCE OF ALCOHOL,4,2010,0,0,30,ODISHA,30,26,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,100,2010,0,0,172,ODISHA,172,72,0
SNAKE BITE/ANIMAL BITE,164,2010,5,0,414,ODISHA,414,250,5
OTHER,168,2010,0,0,415,ODISHA,409,247,0
OTHER RAILWAY ACCIDENTS,11,2010,0,0,37,ODISHA,36,26,0
TOTAL DROWNING,113,2010,8,4,444,ODISHA,429,331,4
TOTAL FALLS,93,2010,1,0,430,ODISHA,427,337,1
TOTAL FIRE,319,2010,8,1,532,ODISHA,528,213,7
TOTAL SUDDEN DEATHS,32,2010,0,0,168,ODISHA,161,136,0
TOTAL POISONING,435,2010,5,0,1016,ODISHA,1010,581,5
ELECTROCUTION,23,2010,9,5,338,PUNJAB,340,315,4
GAS CYLINDER/STOVE BURST,123,2010,6,6,171,PUNJAB,177,48,0
FIRE-ARMS,3,2010,12,0,22,PUNJAB,34,19,12
SUDDEN DEATHS(HEART ATTACKS),59,2010,0,0,557,PUNJAB,555,498,0
EPILEPTIC FITS/GIDDINESS,10,2010,0,0,67,PUNJAB,67,57,0
ABORTIONS/CHILD BIRTH,6,2010,0,0,6,PUNJAB,6,0,0
INFLUENCE OF ALCOHOL,8,2010,0,0,234,PUNJAB,234,226,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,115,2010,0,0,313,PUNJAB,312,198,0
SNAKE BITE/ANIMAL BITE,6,2010,0,0,70,PUNJAB,70,64,0
OTHER,58,2010,0,0,199,PUNJAB,199,141,0
OTHER RAILWAY ACCIDENTS,84,2010,0,0,949,PUNJAB,949,865,0
TOTAL DROWNING,74,2010,5,2,494,PUNJAB,499,420,3
TOTAL FALLS,19,2010,5,0,185,PUNJAB,183,166,5
TOTAL FIRE,203,2010,7,7,352,PUNJAB,358,149,0
TOTAL SUDDEN DEATHS,83,2010,0,0,864,PUNJAB,862,781,0
TOTAL POISONING,215,2010,2,0,788,PUNJAB,786,573,2
ELECTROCUTION,113,2010,20,5,748,RAJASTHAN,735,635,15
GAS CYLINDER/STOVE BURST,105,2010,0,0,161,RAJASTHAN,159,56,0
FIRE-ARMS,0,2010,0,0,2,RAJASTHAN,2,2,0
SUDDEN DEATHS(HEART ATTACKS),79,2010,8,3,650,RAJASTHAN,657,571,5
EPILEPTIC FITS/GIDDINESS,34,2010,0,0,139,RAJASTHAN,139,105,0
ABORTIONS/CHILD BIRTH,25,2010,0,0,25,RAJASTHAN,25,0,0
INFLUENCE OF ALCOHOL,0,2010,0,0,225,RAJASTHAN,225,225,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,250,2010,1,0,735,RAJASTHAN,729,485,1
SNAKE BITE/ANIMAL BITE,133,2010,0,0,404,RAJASTHAN,402,271,0
OTHER,84,2010,0,0,343,RAJASTHAN,343,259,0
OTHER RAILWAY ACCIDENTS,37,2010,0,0,328,RAJASTHAN,328,291,0
TOTAL DROWNING,319,2010,4,1,1406,RAJASTHAN,1344,1087,3
TOTAL FALLS,135,2010,0,0,743,RAJASTHAN,740,608,0
TOTAL FIRE,464,2010,21,7,817,RAJASTHAN,801,353,14
TOTAL SUDDEN DEATHS,138,2010,8,3,1039,RAJASTHAN,1046,901,5
TOTAL POISONING,467,2010,1,0,1484,RAJASTHAN,1476,1017,1
ELECTROCUTION,1,2010,0,0,10,SIKKIM,10,9,0
GAS CYLINDER/STOVE BURST,0,2010,0,0,0,SIKKIM,0,0,0
FIRE-ARMS,0,2010,0,0,0,SIKKIM,0,0,0
SUDDEN DEATHS(HEART ATTACKS),0,2010,0,0,1,SIKKIM,1,1,0
EPILEPTIC FITS/GIDDINESS,0,2010,0,0,0,SIKKIM,0,0,0
ABORTIONS/CHILD BIRTH,0,2010,0,0,0,SIKKIM,0,0,0
INFLUENCE OF ALCOHOL,1,2010,0,0,3,SIKKIM,3,2,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,2010,0,0,0,SIKKIM,0,0,0
SNAKE BITE/ANIMAL BITE,0,2010,0,0,0,SIKKIM,0,0,0
OTHER,3,2010,0,0,11,SIKKIM,11,8,0
OTHER RAILWAY ACCIDENTS,0,2010,0,0,0,SIKKIM,0,0,0
TOTAL DROWNING,2,2010,0,0,15,SIKKIM,15,13,0
TOTAL FALLS,6,2010,0,0,49,SIKKIM,49,43,0
TOTAL FIRE,10,2010,0,0,15,SIKKIM,15,5,0
TOTAL SUDDEN DEATHS,1,2010,0,0,4,SIKKIM,4,3,0
TOTAL POISONING,3,2010,0,0,11,SIKKIM,11,8,0
ELECTROCUTION,78,2010,25,4,492,TAMIL NADU,449,414,21
GAS CYLINDER/STOVE BURST,566,2010,21,9,746,TAMIL NADU,697,180,12
FIRE-ARMS,30,2010,0,0,76,TAMIL NADU,34,46,0
SUDDEN DEATHS(HEART ATTACKS),228,2010,25,1,1516,TAMIL NADU,1480,1288,24
EPILEPTIC FITS/GIDDINESS,63,2010,5,1,236,TAMIL NADU,265,173,4
ABORTIONS/CHILD BIRTH,10,2010,0,0,10,TAMIL NADU,10,0,0
INFLUENCE OF ALCOHOL,5,2010,13,0,289,TAMIL NADU,309,284,13
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,218,2010,1,0,700,TAMIL NADU,695,482,1
SNAKE BITE/ANIMAL BITE,268,2010,17,8,711,TAMIL NADU,685,443,9
OTHER,394,2010,1,0,1322,TAMIL NADU,1315,928,1
OTHER RAILWAY ACCIDENTS,326,2010,18,4,1830,TAMIL NADU,1814,1504,14
TOTAL DROWNING,338,2010,113,35,1613,TAMIL NADU,1676,1275,78
TOTAL FALLS,91,2010,22,3,633,TAMIL NADU,647,542,19
TOTAL FIRE,1653,2010,85,47,2570,TAMIL NADU,2279,917,38
TOTAL SUDDEN DEATHS,306,2010,43,2,2051,TAMIL NADU,2064,1745,41
TOTAL POISONING,950,2010,21,8,2920,TAMIL NADU,2884,1970,13
ELECTROCUTION,7,2010,0,0,30,TRIPURA,30,23,0
GAS CYLINDER/STOVE BURST,0,2010,0,0,1,TRIPURA,1,1,0
FIRE-ARMS,1,2010,0,0,5,TRIPURA,5,4,0
SUDDEN DEATHS(HEART ATTACKS),14,2010,0,0,46,TRIPURA,46,32,0
EPILEPTIC FITS/GIDDINESS,6,2010,0,0,35,TRIPURA,35,29,0
ABORTIONS/CHILD BIRTH,2,2010,0,0,2,TRIPURA,2,0,0
INFLUENCE OF ALCOHOL,0,2010,0,0,13,TRIPURA,13,13,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,2010,0,0,1,TRIPURA,1,1,0
SNAKE BITE/ANIMAL BITE,0,2010,0,0,0,TRIPURA,0,0,0
OTHER,0,2010,0,0,0,TRIPURA,0,0,0
OTHER RAILWAY ACCIDENTS,1,2010,0,0,2,TRIPURA,2,1,0
TOTAL DROWNING,15,2010,0,0,66,TRIPURA,66,51,0
TOTAL FALLS,1,2010,0,0,13,TRIPURA,13,12,0
TOTAL FIRE,14,2010,0,0,32,TRIPURA,32,18,0
TOTAL SUDDEN DEATHS,22,2010,0,0,96,TRIPURA,96,74,0
TOTAL POISONING,0,2010,0,0,2,TRIPURA,2,2,0
ELECTROCUTION,82,2010,77,7,501,UTTAR PRADESH,490,419,70
GAS CYLINDER/STOVE BURST,105,2010,28,21,144,UTTAR PRADESH,140,39,7
FIRE-ARMS,187,2010,418,73,975,UTTAR PRADESH,1020,788,345
SUDDEN DEATHS(HEART ATTACKS),76,2010,18,7,344,UTTAR PRADESH,349,268,11
EPILEPTIC FITS/GIDDINESS,7,2010,5,1,51,UTTAR PRADESH,51,44,4
ABORTIONS/CHILD BIRTH,48,2010,0,0,48,UTTAR PRADESH,51,0,0
INFLUENCE OF ALCOHOL,8,2010,48,1,207,UTTAR PRADESH,185,199,47
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,302,2010,59,20,684,UTTAR PRADESH,655,382,39
SNAKE BITE/ANIMAL BITE,30,2010,22,18,113,UTTAR PRADESH,115,83,4
OTHER,100,2010,115,25,356,UTTAR PRADESH,348,256,90
OTHER RAILWAY ACCIDENTS,460,2010,312,108,2748,UTTAR PRADESH,3143,2288,204
TOTAL DROWNING,269,2010,155,30,1082,UTTAR PRADESH,989,813,125
TOTAL FALLS,68,2010,82,15,304,UTTAR PRADESH,301,236,67
TOTAL FIRE,735,2010,204,80,1169,UTTAR PRADESH,1184,434,124
TOTAL SUDDEN DEATHS,139,2010,71,9,650,UTTAR PRADESH,636,511,62
TOTAL POISONING,439,2010,209,63,1219,UTTAR PRADESH,1173,780,146
ELECTROCUTION,4,2010,6,1,35,UTTARAKHAND,38,31,5
GAS CYLINDER/STOVE BURST,67,2010,4,2,84,UTTARAKHAND,84,17,2
FIRE-ARMS,3,2010,0,0,15,UTTARAKHAND,15,12,0
SUDDEN DEATHS(HEART ATTACKS),7,2010,1,0,83,UTTARAKHAND,84,76,1
EPILEPTIC FITS/GIDDINESS,2,2010,0,0,7,UTTARAKHAND,7,5,0
ABORTIONS/CHILD BIRTH,9,2010,4,4,9,UTTARAKHAND,13,0,0
INFLUENCE OF ALCOHOL,0,2010,3,0,28,UTTARAKHAND,30,28,3
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,48,2010,11,5,126,UTTARAKHAND,96,78,6
SNAKE BITE/ANIMAL BITE,5,2010,0,0,10,UTTARAKHAND,10,5,0
OTHER,17,2010,6,1,49,UTTARAKHAND,33,32,5
OTHER RAILWAY ACCIDENTS,3,2010,6,1,20,UTTARAKHAND,20,17,5
TOTAL DROWNING,32,2010,23,6,220,UTTARAKHAND,184,188,17
TOTAL FALLS,17,2010,12,6,90,UTTARAKHAND,87,73,6
TOTAL FIRE,100,2010,9,5,135,UTTARAKHAND,126,35,4
TOTAL SUDDEN DEATHS,18,2010,8,4,127,UTTARAKHAND,134,109,4
TOTAL POISONING,70,2010,17,6,185,UTTARAKHAND,139,115,11
ELECTROCUTION,13,2010,16,6,93,WEST BENGAL,93,80,10
GAS CYLINDER/STOVE BURST,75,2010,31,23,91,WEST BENGAL,79,16,8
FIRE-ARMS,1,2010,13,2,28,WEST BENGAL,40,27,11
SUDDEN DEATHS(HEART ATTACKS),167,2010,135,46,585,WEST BENGAL,720,418,89
EPILEPTIC FITS/GIDDINESS,7,2010,0,0,22,WEST BENGAL,22,15,0
ABORTIONS/CHILD BIRTH,29,2010,9,9,29,WEST BENGAL,38,0,0
INFLUENCE OF ALCOHOL,0,2010,41,0,32,WEST BENGAL,68,32,41
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,106,2010,27,8,238,WEST BENGAL,229,132,19
SNAKE BITE/ANIMAL BITE,88,2010,54,21,190,WEST BENGAL,218,102,33
OTHER,366,2010,153,73,831,WEST BENGAL,829,465,80
OTHER RAILWAY ACCIDENTS,487,2010,0,0,2647,WEST BENGAL,2646,2160,0
TOTAL DROWNING,143,2010,94,37,540,WEST BENGAL,483,397,57
TOTAL FALLS,29,2010,42,5,166,WEST BENGAL,169,137,37
TOTAL FIRE,493,2010,366,184,702,WEST BENGAL,770,209,182
TOTAL SUDDEN DEATHS,203,2010,185,55,668,WEST BENGAL,848,465,130
TOTAL POISONING,588,2010,257,109,1347,WEST BENGAL,1365,759,148
ELECTROCUTION,0,2010,0,0,4,A & N ISLANDS,4,4,0
GAS CYLINDER/STOVE BURST,7,2010,0,0,7,A & N ISLANDS,7,0,0
FIRE-ARMS,0,2010,0,0,0,A & N ISLANDS,0,0,0
SUDDEN DEATHS(HEART ATTACKS),3,2010,0,0,27,A & N ISLANDS,27,24,0
EPILEPTIC FITS/GIDDINESS,0,2010,0,0,1,A & N ISLANDS,1,1,0
ABORTIONS/CHILD BIRTH,0,2010,0,0,0,A & N ISLANDS,0,0,0
INFLUENCE OF ALCOHOL,0,2010,0,0,2,A & N ISLANDS,2,2,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,1,2010,0,0,2,A & N ISLANDS,2,1,0
SNAKE BITE/ANIMAL BITE,0,2010,0,0,0,A & N ISLANDS,0,0,0
OTHER,0,2010,0,0,0,A & N ISLANDS,0,0,0
OTHER RAILWAY ACCIDENTS,0,2010,0,0,0,A & N ISLANDS,0,0,0
TOTAL DROWNING,3,2010,0,0,30,A & N ISLANDS,30,27,0
TOTAL FALLS,0,2010,0,0,15,A & N ISLANDS,15,15,0
TOTAL FIRE,15,2010,0,0,16,A & N ISLANDS,16,1,0
TOTAL SUDDEN DEATHS,3,2010,0,0,30,A & N ISLANDS,30,27,0
TOTAL POISONING,1,2010,0,0,2,A & N ISLANDS,2,1,0
ELECTROCUTION,1,2010,0,0,7,CHANDIGARH,7,6,0
GAS CYLINDER/STOVE BURST,6,2010,0,0,7,CHANDIGARH,7,1,0
FIRE-ARMS,0,2010,0,0,1,CHANDIGARH,1,1,0
SUDDEN DEATHS(HEART ATTACKS),1,2010,0,0,25,CHANDIGARH,25,24,0
EPILEPTIC FITS/GIDDINESS,0,2010,0,0,3,CHANDIGARH,3,3,0
ABORTIONS/CHILD BIRTH,2,2010,0,0,2,CHANDIGARH,2,0,0
INFLUENCE OF ALCOHOL,0,2010,0,0,17,CHANDIGARH,17,17,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,2010,0,0,0,CHANDIGARH,0,0,0
SNAKE BITE/ANIMAL BITE,0,2010,0,0,0,CHANDIGARH,0,0,0
OTHER,3,2010,0,0,7,CHANDIGARH,7,4,0
OTHER RAILWAY ACCIDENTS,0,2010,0,0,0,CHANDIGARH,0,0,0
TOTAL DROWNING,0,2010,0,0,0,CHANDIGARH,0,0,0
TOTAL FALLS,3,2010,0,0,18,CHANDIGARH,18,15,0
TOTAL FIRE,10,2010,0,0,12,CHANDIGARH,12,2,0
TOTAL SUDDEN DEATHS,3,2010,0,0,47,CHANDIGARH,47,44,0
TOTAL POISONING,5,2010,0,0,9,CHANDIGARH,9,4,0
ELECTROCUTION,3,2010,0,0,5,D & N HAVELI,5,2,0
GAS CYLINDER/STOVE BURST,3,2010,0,0,6,D & N HAVELI,6,3,0
FIRE-ARMS,0,2010,0,0,0,D & N HAVELI,0,0,0
SUDDEN DEATHS(HEART ATTACKS),4,2010,0,0,28,D & N HAVELI,2,24,0
EPILEPTIC FITS/GIDDINESS,0,2010,0,0,2,D & N HAVELI,2,2,0
ABORTIONS/CHILD BIRTH,0,2010,0,0,0,D & N HAVELI,0,0,0
INFLUENCE OF ALCOHOL,0,2010,0,0,3,D & N HAVELI,3,3,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,2010,0,0,0,D & N HAVELI,0,0,0
SNAKE BITE/ANIMAL BITE,1,2010,0,0,5,D & N HAVELI,3,4,0
OTHER,0,2010,0,0,0,D & N HAVELI,0,0,0
OTHER RAILWAY ACCIDENTS,0,2010,0,0,0,D & N HAVELI,0,0,0
TOTAL DROWNING,2,2010,0,0,13,D & N HAVELI,13,11,0
TOTAL FALLS,1,2010,0,0,14,D & N HAVELI,14,13,0
TOTAL FIRE,3,2010,0,0,7,D & N HAVELI,7,4,0
TOTAL SUDDEN DEATHS,4,2010,0,0,33,D & N HAVELI,7,29,0
TOTAL POISONING,1,2010,0,0,5,D & N HAVELI,3,4,0
ELECTROCUTION,0,2010,0,0,1,DAMAN & DIU,1,1,0
GAS CYLINDER/STOVE BURST,0,2010,0,0,0,DAMAN & DIU,0,0,0
FIRE-ARMS,0,2010,0,0,0,DAMAN & DIU,0,0,0
SUDDEN DEATHS(HEART ATTACKS),0,2010,0,0,11,DAMAN & DIU,11,11,0
EPILEPTIC FITS/GIDDINESS,1,2010,0,0,4,DAMAN & DIU,4,3,0
ABORTIONS/CHILD BIRTH,0,2010,0,0,0,DAMAN & DIU,0,0,0
INFLUENCE OF ALCOHOL,0,2010,0,0,3,DAMAN & DIU,3,3,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,2010,0,0,0,DAMAN & DIU,0,0,0
SNAKE BITE/ANIMAL BITE,0,2010,0,0,0,DAMAN & DIU,0,0,0
OTHER,0,2010,0,0,0,DAMAN & DIU,0,0,0
OTHER RAILWAY ACCIDENTS,0,2010,0,0,0,DAMAN & DIU,0,0,0
TOTAL DROWNING,0,2010,0,0,18,DAMAN & DIU,10,18,0
TOTAL FALLS,0,2010,0,0,8,DAMAN & DIU,8,8,0
TOTAL FIRE,4,2010,0,0,5,DAMAN & DIU,5,1,0
TOTAL SUDDEN DEATHS,1,2010,0,0,18,DAMAN & DIU,18,17,0
TOTAL POISONING,0,2010,0,0,0,DAMAN & DIU,0,0,0
ELECTROCUTION,27,2010,19,0,191,DELHI(UT),192,164,19
GAS CYLINDER/STOVE BURST,49,2010,10,2,73,DELHI(UT),65,24,8
FIRE-ARMS,5,2010,58,5,48,DELHI(UT),94,43,53
SUDDEN DEATHS(HEART ATTACKS),25,2010,0,0,232,DELHI(UT),224,207,0
EPILEPTIC FITS/GIDDINESS,3,2010,0,0,20,DELHI(UT),20,17,0
ABORTIONS/CHILD BIRTH,9,2010,0,0,9,DELHI(UT),9,0,0
INFLUENCE OF ALCOHOL,1,2010,0,0,125,DELHI(UT),123,124,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,17,2010,0,0,59,DELHI(UT),56,42,0
SNAKE BITE/ANIMAL BITE,4,2010,0,0,20,DELHI(UT),18,16,0
OTHER,45,2010,11,4,163,DELHI(UT),151,118,7
OTHER RAILWAY ACCIDENTS,101,2010,420,30,1072,DELHI(UT),1492,971,390
TOTAL DROWNING,18,2010,2,0,114,DELHI(UT),99,96,2
TOTAL FALLS,74,2010,38,2,378,DELHI(UT),369,304,36
TOTAL FIRE,177,2010,41,5,332,DELHI(UT),297,155,36
TOTAL SUDDEN DEATHS,38,2010,0,0,386,DELHI(UT),376,348,0
TOTAL POISONING,75,2010,12,4,261,DELHI(UT),245,186,8
ELECTROCUTION,0,2010,0,0,0,LAKSHADWEEP,0,0,0
GAS CYLINDER/STOVE BURST,0,2010,0,0,0,LAKSHADWEEP,0,0,0
FIRE-ARMS,0,2010,0,0,0,LAKSHADWEEP,0,0,0
SUDDEN DEATHS(HEART ATTACKS),0,2010,0,0,2,LAKSHADWEEP,2,2,0
EPILEPTIC FITS/GIDDINESS,0,2010,0,0,0,LAKSHADWEEP,0,0,0
ABORTIONS/CHILD BIRTH,0,2010,0,0,0,LAKSHADWEEP,0,0,0
INFLUENCE OF ALCOHOL,0,2010,0,0,0,LAKSHADWEEP,0,0,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,2010,0,0,0,LAKSHADWEEP,0,0,0
SNAKE BITE/ANIMAL BITE,0,2010,0,0,0,LAKSHADWEEP,0,0,0
OTHER,0,2010,0,0,0,LAKSHADWEEP,0,0,0
OTHER RAILWAY ACCIDENTS,0,2010,0,0,0,LAKSHADWEEP,0,0,0
TOTAL DROWNING,0,2010,0,0,0,LAKSHADWEEP,0,0,0
TOTAL FALLS,0,2010,0,0,0,LAKSHADWEEP,0,0,0
TOTAL FIRE,0,2010,0,0,0,LAKSHADWEEP,0,0,0
TOTAL SUDDEN DEATHS,0,2010,0,0,2,LAKSHADWEEP,2,2,0
TOTAL POISONING,0,2010,0,0,0,LAKSHADWEEP,0,0,0
ELECTROCUTION,3,2010,0,0,25,PUDUCHERRY,25,22,0
GAS CYLINDER/STOVE BURST,0,2010,0,0,0,PUDUCHERRY,0,0,0
FIRE-ARMS,0,2010,0,0,0,PUDUCHERRY,0,0,0
SUDDEN DEATHS(HEART ATTACKS),7,2010,0,0,58,PUDUCHERRY,58,51,0
EPILEPTIC FITS/GIDDINESS,32,2010,0,0,214,PUDUCHERRY,214,182,0
ABORTIONS/CHILD BIRTH,1,2010,0,0,1,PUDUCHERRY,1,0,0
INFLUENCE OF ALCOHOL,4,2010,0,0,245,PUDUCHERRY,245,241,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,2010,0,0,0,PUDUCHERRY,0,0,0
SNAKE BITE/ANIMAL BITE,6,2010,0,0,9,PUDUCHERRY,9,3,0
OTHER,2,2010,0,0,6,PUDUCHERRY,6,4,0
OTHER RAILWAY ACCIDENTS,1,2010,0,0,6,PUDUCHERRY,6,5,0
TOTAL DROWNING,6,2010,0,0,86,PUDUCHERRY,86,80,0
TOTAL FALLS,3,2010,2,0,41,PUDUCHERRY,43,38,2
TOTAL FIRE,28,2010,1,0,33,PUDUCHERRY,34,5,1
TOTAL SUDDEN DEATHS,44,2010,0,0,518,PUDUCHERRY,518,474,0
TOTAL POISONING,8,2010,0,0,15,PUDUCHERRY,15,7,0
